s_date,e_date,agent,day_type,time_segment,unique_location_ids,avg_distance_from_home_km,avg_speed_kmh,unique_locs,max_stay_duration,transformations,max_distance_from_home,dominent_poi,poi_dict,label
2024-10-16 09:00:00+09:00,2024-11-15 09:00:00+09:00,1424300,weekday,9-13.59,4,19.23,2.27,[ 912803 1062825 1018417  931762],240.73,2,23.24,office_building,['office_building' 'unpopulated'],0
2024-10-16 14:00:00+09:00,2024-11-15 14:00:00+09:00,1424300,weekday,14-17.29,5,15.74,5.63,[ 912803 1062825 1018417  224374  416491],164.9,2,23.24,office_building,['office_building' 'unpopulated' 'food' 'healthcare'],0
2024-10-16 17:30:00+09:00,2024-11-15 20:42:50+09:00,1424300,weekday,17.30-21.29,2,7.06,4.95,[1062825  912803],142.31,2,20.55,unpopulated,['unpopulated' 'office_building'],0
2024-10-16 21:30:00+09:00,2024-11-15 21:30:00+09:00,1424300,weekday,21.30-23.59,1,0.0,0.0,[1062825],141.39,2,0.0,unpopulated,['unpopulated'],0
2024-10-19 00:00:00+09:00,2024-11-17 00:00:00+09:00,1424300,weekend,0-5.59,1,0.0,0.0,[1062825],351.12,2,0.0,unpopulated,['unpopulated'],0
2024-10-19 06:00:00+09:00,2024-11-17 06:00:00+09:00,1424300,weekend,6-8.59,3,2.1,3.74,[1062825  912803  265724],165.62,2,20.55,unpopulated,['unpopulated' 'office_building' 'education'],0
2024-10-19 09:00:00+09:00,2024-11-17 10:02:10+09:00,1424300,weekend,9-13.59,4,9.5,8.64,[ 912803 1062825  351596  265724],188.72,2,20.55,office_building,['office_building' 'unpopulated' 'store' 'education'],0
2024-10-19 14:00:00+09:00,2024-11-17 17:01:10+09:00,1424300,weekend,14-17.29,5,9.04,6.82,[ 912803  351596 1062825  383739  416491],135.88,2,20.55,office_building,['office_building' 'store' 'unpopulated' 'healthcare'],0
2024-10-19 17:30:00+09:00,2024-11-17 19:14:20+09:00,1424300,weekend,17.30-21.29,4,3.35,3.68,[ 912803 1062825  351596  416491],176.68,2,20.55,unpopulated,['office_building' 'unpopulated' 'store' 'healthcare'],0
2024-10-19 21:30:00+09:00,2024-11-17 21:30:00+09:00,1424300,weekend,21.30-23.59,2,0.27,1.01,[ 351596 1062825],125.95,2,3.48,unpopulated,['store' 'unpopulated'],0
2024-10-16 00:00:00+09:00,2024-11-15 05:47:00+09:00,1552400,weekday,0-5.59,1,0.0,0.0,[2486158],139.72,5,0.0,residential,['residential'],0
2024-10-17 06:00:00+09:00,2024-11-15 06:43:00+09:00,1552400,weekday,6-8.59,4,3.66,1.97,[2486158  550961  184885      -1],71.48,2,56.99,residential,['residential' 'sports' 'public_service' 'aoi_boundary'],0
2024-10-16 11:18:50+09:00,2024-11-13 09:00:00+09:00,1552400,weekday,9-13.59,3,13.21,0.79,[     -1 2486158  629738],138.41,3,56.99,residential,['aoi_boundary' 'residential' 'healthcare'],0
2024-10-16 14:00:00+09:00,2024-11-13 14:00:00+09:00,1552400,weekday,14-17.29,2,13.68,1.08,[     -1 2486158],116.52,2,56.99,residential,['aoi_boundary' 'residential'],0
2024-10-17 20:56:40+09:00,2024-11-15 20:54:00+09:00,1552400,weekday,17.30-21.29,4,5.39,1.04,[2486158      -1  550961  184885],88.14,3,56.99,residential,['residential' 'aoi_boundary' 'sports' 'public_service'],0
2024-10-16 23:13:00+09:00,2024-11-15 21:30:00+09:00,1552400,weekday,21.30-23.59,1,0.0,0.0,[2486158],70.67,3,0.0,residential,['residential'],0
2024-10-19 00:00:00+09:00,2024-11-17 05:24:20+09:00,1552400,weekend,0-5.59,1,0.0,0.0,[2486158],113.85,5,0.0,residential,['residential'],0
2024-10-19 06:00:00+09:00,2024-11-17 06:00:00+09:00,1552400,weekend,6-8.59,1,0.0,0.0,[2486158],76.75,3,0.0,residential,['residential'],0
2024-10-19 09:00:00+09:00,2024-11-17 13:33:40+09:00,1552400,weekend,9-13.59,3,5.42,0.16,[2486158  775076      -1],106.93,3,56.99,residential,['residential' 'religious' 'aoi_boundary'],0
2024-10-20 15:23:10+09:00,2024-11-17 17:00:10+09:00,1552400,weekend,14-17.29,4,3.97,0.0,[2486158  775076      -1  289157],87.48,3,56.99,residential,['residential' 'religious' 'aoi_boundary' 'terrestrial'],0
2024-10-20 18:00:20+09:00,2024-11-17 21:15:40+09:00,1552400,weekend,17.30-21.29,4,2.41,0.24,[2486158  289157      -1  775076],121.33,3,56.99,residential,['residential' 'terrestrial' 'aoi_boundary' 'religious'],0
2024-10-19 22:08:10+09:00,2024-11-17 23:37:20+09:00,1552400,weekend,21.30-23.59,1,0.0,0.0,[2486158],66.32,3,0.0,residential,['residential'],0
2024-10-16 00:00:00+09:00,2024-11-15 00:00:00+09:00,1556900,weekday,0-5.59,1,0.0,0.0,[1633560],237.66,4,0.0,residential,['residential'],0
2024-10-16 06:15:50+09:00,2024-11-15 06:00:00+09:00,1556900,weekday,6-8.59,1,0.0,0.0,[1633560],147.35,2,0.0,residential,['residential'],0
2024-10-16 09:00:00+09:00,2024-11-15 09:00:00+09:00,1556900,weekday,9-13.59,2,0.03,0.71,[1633560  811028],215.51,3,0.83,residential,['residential' 'unpopulated'],0
2024-10-16 14:00:00+09:00,2024-11-15 14:00:00+09:00,1556900,weekday,14-17.29,5,0.11,1.8,[1633560  811028  651478  994300  359796],155.29,3,1.96,residential,['residential' 'unpopulated' 'office_building' 'store'],0
2024-10-16 17:30:00+09:00,2024-11-15 17:30:00+09:00,1556900,weekday,17.30-21.29,3,0.03,0.67,[1633560  994300  811028],163.59,3,1.03,residential,['residential' 'office_building' 'unpopulated'],0
2024-10-16 21:30:00+09:00,2024-11-15 21:30:00+09:00,1556900,weekday,21.30-23.59,1,0.0,0.0,[1633560],119.22,2,0.0,residential,['residential'],0
2024-10-19 00:00:00+09:00,2024-11-17 02:12:00+09:00,1556900,weekend,0-5.59,1,0.0,0.0,[1633560],274.45,3,0.0,residential,['residential'],0
2024-10-19 06:05:00+09:00,2024-11-17 06:00:00+09:00,1556900,weekend,6-8.59,1,0.0,0.0,[1633560],142.48,2,0.0,residential,['residential'],0
2024-10-19 09:00:00+09:00,2024-11-17 13:53:10+09:00,1556900,weekend,9-13.59,5,0.27,3.28,[1633560  994300  811028  235044  651478],201.82,3,1.03,residential,['residential' 'office_building' 'unpopulated' 'store'],0
2024-10-19 14:00:00+09:00,2024-11-17 16:26:50+09:00,1556900,weekend,14-17.29,5,0.94,3.21,[1633560  994300  651478  871546  811028],148.37,3,14.53,residential,['residential' 'office_building' 'unpopulated'],0
2024-10-19 17:30:00+09:00,2024-11-17 20:22:00+09:00,1556900,weekend,17.30-21.29,6,1.25,4.09,[1633560  235044  994300  811028  651478  871546],160.9,3,14.53,residential,['residential' 'store' 'office_building' 'unpopulated'],0
2024-10-19 21:30:00+09:00,2024-11-17 21:33:00+09:00,1556900,weekend,21.30-23.59,1,0.0,0.0,[1633560],110.67,2,0.0,residential,['residential'],0
2024-10-16 00:29:30+09:00,2024-11-15 05:37:20+09:00,1014301,weekday,0-5.59,1,0.0,0.0,[1259725],199.89,4,0.0,residential,['residential'],0
2024-10-16 06:00:00+09:00,2024-11-15 06:57:30+09:00,1014301,weekday,6-8.59,3,0.99,1.74,[1259725  584065  451822],52.0,4,2.06,residential,['residential' 'filling_stations' 'office_building'],0
2024-10-16 09:22:50+09:00,2024-11-15 13:49:10+09:00,1014301,weekday,9-13.59,2,1.72,0.0,[584065 451822],105.17,5,2.06,filling_stations,['filling_stations' 'office_building'],0
2024-10-16 14:00:00+09:00,2024-11-15 16:12:30+09:00,1014301,weekday,14-17.29,3,1.5,1.53,[ 584065  451822 1259725],91.66,4,2.06,filling_stations,['filling_stations' 'office_building' 'residential'],0
2024-10-16 17:30:00+09:00,2024-11-15 21:02:20+09:00,1014301,weekday,17.30-21.29,4,1.57,0.24,[ 584065 1259725  451822  698005],117.5,3,36.91,residential,['filling_stations' 'residential' 'office_building' 'sports'],0
2024-10-16 21:30:00+09:00,2024-11-15 22:13:40+09:00,1014301,weekday,21.30-23.59,1,0.0,0.0,[1259725],74.7,3,0.0,residential,['residential'],0
2024-10-19 00:01:10+09:00,2024-11-17 05:13:10+09:00,1014301,weekend,0-5.59,1,0.0,0.0,[1259725],172.4,4,0.0,residential,['residential'],0
2024-10-19 06:00:00+09:00,2024-11-17 07:57:50+09:00,1014301,weekend,6-8.59,2,0.67,2.18,[1259725  584065],65.65,3,1.65,residential,['residential' 'filling_stations'],0
2024-10-19 09:00:00+09:00,2024-11-17 13:54:10+09:00,1014301,weekend,9-13.59,1,1.65,0.0,[584065],95.92,4,1.65,filling_stations,['filling_stations'],0
2024-10-19 14:00:00+09:00,2024-11-17 17:29:10+09:00,1014301,weekend,14-17.29,2,1.51,0.96,[ 584065 1259725],76.28,4,1.65,filling_stations,['filling_stations' 'residential'],0
2024-10-19 17:30:00+09:00,2024-11-17 21:20:30+09:00,1014301,weekend,17.30-21.29,2,0.26,0.42,[1259725  584065],88.28,4,1.65,residential,['residential' 'filling_stations'],0
2024-10-19 21:30:00+09:00,2024-11-17 21:57:00+09:00,1014301,weekend,21.30-23.59,1,0.0,0.0,[1259725],55.93,4,0.0,residential,['residential'],0
2024-10-16 00:00:00+09:00,2024-11-14 02:13:10+09:00,1354901,weekday,0-5.59,1,0.0,0.0,[2381179],213.24,4,0.0,residential,['residential'],0
2024-10-16 07:18:40+09:00,2024-11-15 08:33:50+09:00,1354901,weekday,6-8.59,3,1.05,3.94,[2413790 2381179  930526],79.5,2,5.74,residential,['residential' 'store'],0
2024-10-16 09:00:00+09:00,2024-11-15 09:00:00+09:00,1354901,weekday,9-13.59,3,1.57,0.0,[2413790  930526 2381179],239.42,3,5.74,store,['residential' 'store'],0
2024-10-16 14:00:00+09:00,2024-11-15 17:27:10+09:00,1354901,weekday,14-17.29,3,1.27,2.64,[2413790 2381179  930526],159.09,3,5.74,store,['residential' 'store'],0
2024-10-16 17:30:00+09:00,2024-11-15 17:30:00+09:00,1354901,weekday,17.30-21.29,3,0.39,1.71,[2413790 2381179  930526],162.62,3,5.74,residential,['residential' 'store'],0
2024-10-17 21:30:00+09:00,2024-11-15 21:30:00+09:00,1354901,weekday,21.30-23.59,1,0.0,0.0,[2381179],131.93,2,0.0,residential,['residential'],0
2024-10-19 00:00:00+09:00,2024-11-17 00:00:00+09:00,1354901,weekend,0-5.59,1,0.0,0.0,[2381179],268.77,3,0.0,residential,['residential'],0
2024-10-19 06:00:00+09:00,2024-11-17 08:39:30+09:00,1354901,weekend,6-8.59,3,0.49,1.84,[2381179 2413790  930526],135.82,2,5.74,residential,['residential' 'store'],0
2024-10-19 09:00:00+09:00,2024-11-17 12:45:50+09:00,1354901,weekend,9-13.59,5,0.88,3.26,[2381179  930526 2413790  187628  147185],107.67,4,5.74,store,['residential' 'store' 'unpopulated'],0
2024-10-19 14:00:00+09:00,2024-11-17 16:22:40+09:00,1354901,weekend,14-17.29,3,0.32,2.69,[2381179  930526  187628],108.29,3,2.73,residential,['residential' 'store' 'unpopulated'],0
2024-10-19 17:30:00+09:00,2024-11-17 20:20:00+09:00,1354901,weekend,17.30-21.29,1,0.0,0.0,[2381179],186.03,2,0.0,residential,['residential'],0
2024-10-19 21:30:00+09:00,2024-11-17 21:30:00+09:00,1354901,weekend,21.30-23.59,1,0.0,0.0,[2381179],113.63,2,0.0,residential,['residential'],0
2024-10-16 00:00:00+09:00,2024-11-15 05:13:40+09:00,1432501,weekday,0-5.59,2,0.82,3.12,[2151558  705653],307.91,2,4.41,residential,['residential' 'unpopulated'],0
2024-10-16 06:00:00+09:00,2024-11-15 07:33:20+09:00,1432501,weekday,6-8.59,2,2.39,5.65,[ 705653 2151558],108.8,2,4.41,unpopulated,['unpopulated' 'residential'],0
2024-10-16 09:00:00+09:00,2024-11-15 09:32:10+09:00,1432501,weekday,9-13.59,4,3.84,4.56,[ 705653 2151558 3027740  709521],244.37,2,9.33,unpopulated,['unpopulated' 'residential'],0
2024-10-16 14:28:20+09:00,2024-11-15 14:00:00+09:00,1432501,weekday,14-17.29,3,3.48,3.69,[ 705653 2151558 3027740],188.72,2,4.41,unpopulated,['unpopulated' 'residential'],0
2024-10-16 17:30:00+09:00,2024-11-15 21:19:30+09:00,1432501,weekday,17.30-21.29,3,1.98,4.96,[2151558 1076513  705653],159.25,2,5.46,residential,['residential' 'unpopulated'],0
2024-10-16 21:30:00+09:00,2024-11-15 21:30:00+09:00,1432501,weekday,21.30-23.59,2,0.25,0.82,[2151558 1076513],145.12,2,5.46,residential,['residential' 'unpopulated'],0
2024-10-19 00:00:00+09:00,2024-11-17 04:28:10+09:00,1432501,weekend,0-5.59,2,0.59,2.23,[2151558  705653],295.82,2,4.41,residential,['residential' 'unpopulated'],0
2024-10-19 06:00:00+09:00,2024-11-17 06:23:30+09:00,1432501,weekend,6-8.59,3,3.7,2.83,[2151558  705653  309117],142.28,2,26.73,residential,['residential' 'unpopulated' 'food'],0
2024-10-19 09:00:00+09:00,2024-11-17 09:00:00+09:00,1432501,weekend,9-13.59,7,4.75,7.03,[ 705653  261979 1076513  741083 2151558  862207  309117],224.5,2,26.73,unpopulated,['unpopulated' 'food' 'store' 'residential'],0
2024-10-19 14:00:00+09:00,2024-11-17 14:00:00+09:00,1432501,weekend,14-17.29,3,1.92,5.05,[ 705653  862207 2151558],146.37,2,4.41,unpopulated,['unpopulated' 'residential'],0
2024-10-19 17:30:00+09:00,2024-11-17 17:30:00+09:00,1432501,weekend,17.30-21.29,4,0.99,5.42,[ 862207 2151558  705653  694834],194.05,2,4.41,residential,['unpopulated' 'residential' 'store'],0
2024-10-19 21:30:00+09:00,2024-11-17 21:30:00+09:00,1432501,weekend,21.30-23.59,1,0.0,0.0,[2151558],146.08,2,0.0,residential,['residential'],0
2024-10-16 00:00:00+09:00,2024-11-15 00:15:00+09:00,1260002,weekday,0-5.59,3,0.1,0.07,[3538108  176059  748915],100.77,4,2.03,residential,['residential' 'unpopulated' 'food'],0
2024-10-16 06:00:00+09:00,2024-11-15 08:40:30+09:00,1260002,weekday,6-8.59,3,1.64,1.53,[3538108  176059  905985],64.32,3,12.97,unpopulated,['residential' 'unpopulated' 'store'],0
2024-10-16 09:08:40+09:00,2024-11-15 13:55:00+09:00,1260002,weekday,9-13.59,2,1.68,0.76,[ 176059 3538108],102.09,4,2.03,unpopulated,['unpopulated' 'residential'],0
2024-10-16 14:00:00+09:00,2024-11-15 16:48:20+09:00,1260002,weekday,14-17.29,3,1.42,1.19,[ 176059  748915 3538108],82.05,3,2.03,unpopulated,['unpopulated' 'food' 'residential'],0
2024-10-16 20:13:10+09:00,2024-11-15 17:39:30+09:00,1260002,weekday,17.30-21.29,3,1.33,1.23,[3538108  935594  176059],100.61,3,2.03,unpopulated,['residential' 'unpopulated'],0
2024-10-16 21:34:30+09:00,2024-11-15 23:48:10+09:00,1260002,weekday,21.30-23.59,2,0.2,0.61,[3538108  176059],51.36,3,2.03,residential,['residential' 'unpopulated'],0
2024-10-19 00:00:00+09:00,2024-11-17 05:53:30+09:00,1260002,weekend,0-5.59,1,0.0,0.0,[3538108],174.25,5,0.0,residential,['residential'],0
2024-10-19 06:31:40+09:00,2024-11-17 07:34:40+09:00,1260002,weekend,6-8.59,1,0.0,0.0,[3538108],65.67,3,0.0,residential,['residential'],0
2024-10-19 09:00:00+09:00,2024-11-17 13:43:50+09:00,1260002,weekend,9-13.59,3,0.49,0.75,[3538108  176059  748915],112.5,3,2.03,residential,['residential' 'unpopulated' 'food'],0
2024-10-19 14:00:00+09:00,2024-11-17 17:00:00+09:00,1260002,weekend,14-17.29,5,0.82,0.88,[ 176059 3538108 1070280 1081881  748915],71.92,3,2.05,residential,['unpopulated' 'residential' 'public_service' 'food'],0
2024-10-19 17:51:20+09:00,2024-11-17 17:30:00+09:00,1260002,weekend,17.30-21.29,3,0.55,0.04,[3538108  176059  748915],108.65,2,2.03,residential,['residential' 'unpopulated' 'food'],0
2024-10-19 21:30:00+09:00,2024-11-17 23:30:50+09:00,1260002,weekend,21.30-23.59,2,0.2,0.0,[3538108  748915],81.2,2,1.05,residential,['residential' 'food'],0
2024-10-16 00:00:00+09:00,2024-11-15 05:35:30+09:00,849103,weekday,0-5.59,1,0.0,0.0,[3218276],158.96,5,0.0,residential,['residential'],0
2024-10-16 06:00:00+09:00,2024-11-15 06:47:20+09:00,849103,weekday,6-8.59,2,0.09,0.05,[3218276  821986],102.72,3,4.89,residential,['residential' 'healthcare'],0
2024-10-16 09:24:50+09:00,2024-11-15 12:44:10+09:00,849103,weekday,9-13.59,4,0.76,0.14,[3218276    9265  821986  224549],130.93,5,7.63,residential,['residential' 'unpopulated' 'healthcare'],0
2024-10-16 15:04:30+09:00,2024-11-15 17:27:40+09:00,849103,weekday,14-17.29,5,0.79,0.32,[3218276  718180 3376406  821986  224549],92.18,3,7.63,residential,['residential' 'store' 'healthcare' 'unpopulated'],0
2024-10-16 17:30:00+09:00,2024-11-15 20:48:20+09:00,849103,weekday,17.30-21.29,4,0.13,0.24,[3218276  718180 1049048 3376406],91.28,4,3.75,residential,['residential' 'store' 'food'],0
2024-10-16 21:30:00+09:00,2024-11-15 22:32:50+09:00,849103,weekday,21.30-23.59,1,0.0,0.0,[3218276],59.56,3,0.0,residential,['residential'],0
2024-10-19 00:00:00+09:00,2024-11-17 05:28:00+09:00,849103,weekend,0-5.59,1,0.0,0.0,[3218276],175.65,4,0.0,residential,['residential'],0
2024-10-19 06:00:00+09:00,2024-11-17 06:00:00+09:00,849103,weekend,6-8.59,1,0.0,0.0,[3218276],97.98,3,0.0,residential,['residential'],0
2024-10-19 09:00:00+09:00,2024-11-17 09:00:00+09:00,849103,weekend,9-13.59,4,1.03,0.29,[3218276  821986 1049048 1048637],123.03,4,15.19,residential,['residential' 'healthcare' 'food' 'unpopulated'],0
2024-10-19 14:00:00+09:00,2024-11-17 17:24:30+09:00,849103,weekend,14-17.29,5,0.42,2.51,[3218276 1049048  635192  652676  718180],84.82,4,3.75,residential,['residential' 'food' 'theater' 'healthcare' 'store'],0
2024-10-19 17:50:20+09:00,2024-11-17 18:47:00+09:00,849103,weekend,17.30-21.29,6,0.69,1.73,[3218276  635192  182868  331657  718180  586906],118.15,3,3.75,residential,['residential' 'theater' 'store' 'office_building'],0
2024-10-19 21:30:00+09:00,2024-11-17 23:06:50+09:00,849103,weekend,21.30-23.59,1,0.0,0.0,[3218276],86.23,3,0.0,residential,['residential'],0
2024-10-16 00:34:00+09:00,2024-11-15 04:24:30+09:00,1222103,weekday,0-5.59,1,0.0,0.0,[2024604],85.65,5,0.0,residential,['residential'],0
2024-10-16 06:00:00+09:00,2024-11-15 08:55:00+09:00,1222103,weekday,6-8.59,2,1.61,1.58,[2024604  302910],56.53,3,5.17,residential,['residential' 'food'],0
2024-10-16 09:03:40+09:00,2024-11-15 13:08:10+09:00,1222103,weekday,9-13.59,2,4.99,0.19,[ 302910 2024604],79.07,4,5.17,food,['food' 'residential'],0
2024-10-16 14:36:50+09:00,2024-11-15 16:25:50+09:00,1222103,weekday,14-17.29,1,5.17,0.0,[302910],62.82,4,5.17,food,['food'],0
2024-10-17 17:30:00+09:00,2024-11-14 21:07:20+09:00,1222103,weekday,17.30-21.29,4,1.44,1.59,[ 302910 2024604 1933684  174606],57.07,4,6.34,residential,['food' 'residential' 'store'],0
2024-10-16 23:33:50+09:00,2024-11-15 23:29:40+09:00,1222103,weekday,21.30-23.59,1,0.0,0.0,[2024604],40.51,3,0.0,residential,['residential'],0
2024-10-19 00:00:00+09:00,2024-11-17 05:09:30+09:00,1222103,weekend,0-5.59,1,0.0,0.0,[2024604],120.17,5,0.0,residential,['residential'],0
2024-10-19 06:00:00+09:00,2024-11-17 08:14:40+09:00,1222103,weekend,6-8.59,2,0.24,0.23,[2024604  302910],87.65,3,5.17,residential,['residential' 'food'],0
2024-10-19 09:00:00+09:00,2024-11-17 10:40:20+09:00,1222103,weekend,9-13.59,4,3.88,2.11,[2024604  302910  174606  294434],84.38,4,5.43,food,['residential' 'food' 'store' 'healthcare'],0
2024-10-19 14:00:00+09:00,2024-11-17 15:29:00+09:00,1222103,weekend,14-17.29,6,6.17,1.62,[ 302910 2024604  174606  461936  892835  538351],37.35,4,39.35,food,"['food' 'residential' 'store' 'healthcare' 'unpopulated'
 'learning_facilities/tourism']",0
2024-10-19 17:30:00+09:00,2024-11-17 19:54:20+09:00,1222103,weekend,17.30-21.29,3,4.54,0.08,[2024604  892835  174606],99.8,3,32.91,residential,['residential' 'unpopulated' 'store'],0
2024-10-19 21:30:00+09:00,2024-11-17 21:30:00+09:00,1222103,weekend,21.30-23.59,1,0.0,0.0,[2024604],79.23,3,0.0,residential,['residential'],0
2024-10-16 00:00:10+09:00,2024-11-15 00:00:00+09:00,1557203,weekday,0-5.59,1,0.0,0.0,[3616281],324.59,2,0.0,residential,['residential'],0
2024-10-16 06:00:00+09:00,2024-11-15 06:00:00+09:00,1557203,weekday,6-8.59,1,0.0,0.0,[3616281],164.59,2,0.0,residential,['residential'],0
2024-10-16 09:00:00+09:00,2024-11-15 09:00:00+09:00,1557203,weekday,9-13.59,10,2.76,8.15,"[3616281  667123  702485  775715 1064359  685977   25529  440830  617987
  241438]",227.1,3,40.18,residential,['residential' 'unpopulated' 'food' 'store' 'healthcare' 'religious'],0
2024-10-16 14:00:00+09:00,2024-11-15 14:00:00+09:00,1557203,weekday,14-17.29,10,2.53,6.43,"[3616281  702485 2319449  497783  685977  872828   25529 1064359  104533
  617987]",156.54,3,25.93,residential,['residential' 'food' 'store' 'unpopulated' 'healthcare'],0
2024-10-16 17:30:00+09:00,2024-11-15 17:30:00+09:00,1557203,weekday,17.30-21.29,8,3.54,5.83,[3616281 2319449  702485  872828  607287  931022  515869  617987],157.25,2,41.35,residential,['residential' 'food' 'store' 'sports' 'healthcare'],0
2024-10-16 21:30:00+09:00,2024-11-15 23:03:40+09:00,1557203,weekday,21.30-23.59,2,0.08,0.67,[3616281  872828],123.75,2,2.67,residential,['residential' 'food'],0
2024-10-19 00:00:00+09:00,2024-11-17 00:00:00+09:00,1557203,weekend,0-5.59,1,0.0,0.0,[3616281],256.55,3,0.0,residential,['residential'],0
2024-10-19 06:00:00+09:00,2024-11-17 06:00:00+09:00,1557203,weekend,6-8.59,1,0.0,0.0,[3616281],148.42,2,0.0,residential,['residential'],0
2024-10-19 09:00:00+09:00,2024-11-17 13:02:20+09:00,1557203,weekend,9-13.59,5,2.3,3.91,[3616281 2226172  241438  307964  108135],147.68,4,18.73,residential,['residential' 'religious' 'store'],0
